idx,fname,mae_sample,maxae_sample,abs_err_c12,abs_err_c1e,abs_err_c1t,abs_err_c1b,abs_err_c1d2
28,,0.0018906879999999987,0.0051598600000000005,0.0017481699999999933,0.00141375,0.00102443,0.00010722999999999983,0.0051598600000000005
29,,0.004536224000000001,0.011493230000000007,0.011493230000000007,0.0007788299999999995,0.00152532,0.00464885,0.00423489
30,,0.0048432760000000005,0.00896391,0.006693270000000001,0.0020585699999999996,0.00896391,9.052000000000018e-05,0.006410109999999999
31,,0.003976032,0.00597437,0.00245128,0.00229182,0.00513294,0.00402975,0.00597437
32,,0.006962056000000001,0.012187910000000003,0.012187910000000003,0.00453284,0.01207031,0.00141662,0.004602600000000002
33,,0.00422317,0.00670771,0.00439734,0.0007893399999999995,0.00670771,0.00322251,0.005998949999999999
34,,0.007864966,0.01495621,0.010421849999999996,0.0057134099999999995,0.01495621,0.00348243,0.00475093
35,,0.006656058000000001,0.01183306,0.01183306,0.0036668200000000003,0.00949635,0.0015709300000000003,0.0067131299999999994
36,,0.00671273,0.02091912,0.004757860000000003,0.00057324,0.02091912,0.00528589,0.0020275399999999996
37,,0.00394596,0.00573344,0.00484391,0.0027925,0.00227559,0.00573344,0.004084360000000002
38,,0.0029657600000000004,0.00665968,0.004382770000000001,0.0017893100000000001,0.00665968,0.0010261699999999999,0.0009708700000000021
39,,0.00324116,0.005513509999999999,0.005513509999999999,0.0029077499999999997,0.00043977,0.0032265400000000004,0.004118229999999997
40,,0.003704458,0.00793464,0.004259579999999999,0.0024942099999999997,0.00793464,0.00218479,0.0016490700000000025
41,,0.003594796,0.00631491,0.00415424,0.00205476,0.00631491,0.0007461100000000003,0.00470396
42,,0.005512256000000001,0.01608675,0.00873173,4.373000000000007e-05,0.01608675,0.0023569499999999996,0.0003421200000000013
43,,0.0021846919999999994,0.004284919999999999,0.0012966099999999993,0.00399098,0.00011756,0.004284919999999999,0.0012333899999999974
44,,0.005258324,0.00867066,0.00540397,0.0003470700000000001,0.00692615,0.00867066,0.004943769999999997
45,,0.0018218020000000002,0.00428324,0.0011223500000000011,0.00428324,0.00106736,0.00210022,0.0005358399999999992
46,,0.004598748,0.00606193,0.00602333,0.00245327,0.00480152,0.00606193,0.0036536899999999976
47,,0.003922831999999999,0.0069286899999999995,0.003602479999999999,0.0069286899999999995,0.00166399,0.00319906,0.004219939999999998
48,,0.00310811,0.0055933300000000005,0.0037356000000000004,0.00211237,0.00051635,0.003582899999999999,0.0055933300000000005
