idx,fname,mae_sample,maxae_sample,abs_err_c12,abs_err_c13,abs_err_c1e,abs_err_c1tr,abs_err_c1tl,abs_err_c1br,abs_err_c1bl
36,,0.005398845714285713,0.018642680000000002,0.018642680000000002,0.00428651,0.00798757,0.00426331,0.00044983,0.0003365,0.0018255200000000006
37,,0.008226475714285714,0.0191473,0.0191473,0.01151785,0.00668613,0.01025279,0.00286709,0.0009779300000000001,0.006136240000000001
38,,0.007746464285714286,0.0214023,0.0214023,0.01794917,0.0018798200000000001,0.00180272,0.00387018,0.0004032000000000011,0.006917860000000001
39,,0.006405555714285715,0.020489850000000004,0.020489850000000004,0.00960274,0.003506069999999999,0.00106546,0.00444362,0.004702429999999999,0.0010287200000000003
40,,0.008456655714285713,0.02400522,0.02400522,0.0013152799999999998,0.0014711700000000004,0.00469473,0.00454708,0.011735349999999999,0.011427759999999999
41,,0.006323771428571428,0.0235147,0.004276449999999998,0.0235147,0.00243979,0.00177485,0.00011101,0.0005086800000000009,0.011640919999999999
42,,0.008120147142857142,0.03302684,0.012129290000000001,0.03302684,0.00446685,0.00316456,0.00091075,0.0011249100000000015,0.00201783
43,,0.003328682857142857,0.00653484,0.00653484,0.004831490000000001,0.0026297399999999998,0.00598248,0.00178297,0.00024319999999999897,0.0012960600000000017
44,,0.004324710000000001,0.01551533,0.01551533,0.0047735,0.00486401,0.00056491,0.00092148,0.0018600200000000004,0.0017737200000000012
45,,0.006965681428571428,0.01764478,0.005307220000000001,0.01764478,0.0024195099999999997,0.00643184,0.00338975,0.005617789999999999,0.007948880000000002
46,,0.006118217142857142,0.012441709999999998,0.009737390000000002,0.012441709999999998,6.77999999999998e-05,0.00453387,0.00147688,0.00384637,0.010723499999999999
47,,0.005875372857142856,0.01123484,0.01123484,0.01032753,0.00494553,0.00438635,0.00597726,0.001934749999999999,0.00232135
48,,0.006728711428571429,0.014375060000000002,0.00598893,0.00424544,0.00121281,0.00496464,0.00550756,0.01080654,0.014375060000000002
49,,0.009258828571428571,0.028842359999999997,0.01650727,0.028842359999999997,0.0010885299999999999,0.00710801,0.0008155,0.0026379100000000003,0.007812220000000002
50,,0.009325239999999999,0.02471127,0.01855217,0.02471127,0.0034740400000000003,0.00575269,0.002664,0.003756829999999999,0.0063656799999999986
51,,0.0047636200000000005,0.012884610000000001,0.012884610000000001,0.0018211600000000022,0.00200589,0.00640746,0.00171202,0.0069992200000000004,0.001514979999999999
52,,0.006444751428571429,0.01707892,0.01707892,0.004382230000000001,0.00200385,0.00861668,0.00217699,0.00753906,0.003315529999999999
53,,0.007861025714285713,0.01911256,0.013238959999999998,0.01911256,0.0008943999999999998,0.00370547,0.00406256,0.0084237,0.005589530000000002
54,,0.007198152857142857,0.01647725,0.01647725,0.014374669999999999,0.00184026,0.00163956,0.00087757,0.00492629,0.010251469999999999
